CapsuleIndex,Type,Max,RewardIndex,ItemIndex,Count,Point,Cash
71500101,0,4720,7000001,0,0,1250,0
71500201,0,4720,7000002,0,0,1250,0
71500301,0,4720,7000003,0,0,1250,0
73500101,2,31356,7200001,45500101,1,0,0
73500201,2,19600,7200002,45500101,1,0,0
73500301,2,19600,7200003,45500101,1,0,0
73500401,2,19600,7200004,45500101,1,0,0
73500501,2,19600,7200005,45500101,1,0,0
73500601,2,19600,7200006,45500101,1,0,0
73500701,2,19600,7200007,45500101,1,0,0
74500701,3,6150,7300007,48500302,10,0,0
74500801,3,6150,7300008,48500302,10,0,0
74500901,3,6150,7300009,48500302,10,0,0
