RewardIndex,Grade,Count,RewardItem1,RewardItem2,RewardItem3,RewardPoint
7000001,1,220,49502002,0,0,0
7000001,2,100,49500802,0,0,0
7000001,3,200,49500602,0,0,0
7000001,4,300,49501902,49501202,49501802,0
7000001,5,300,49501902,49501802,0,0
7000001,6,300,49501902,49501202,0,0
7000001,7,500,49501902,0,0,0
7000001,8,500,49501202,49501202,49501202,0
7000001,9,500,49501802,49501802,49501802,0
7000001,10,500,49501202,49501802,0,0
7000001,11,300,43510701,0,0,0
7000001,12,600,43510505,0,0,0
7000001,13,100,49500602,49501202,49501802,0
7000001,14,100,49500602,49501202,0,0
7000001,15,200,49500602,49501802,0,0
7000002,1,220,49500402,0,0,0
7000002,2,100,49501102,0,0,0
7000002,3,200,49501002,0,0,0
7000002,4,300,49501902,49501202,49501802,0
7000002,5,300,49501902,49501802,0,0
7000002,6,300,49501902,49501202,0,0
7000002,7,500,49501902,0,0,0
7000002,8,500,49501202,49501202,49501202,0
7000002,9,500,49501802,49501802,49501802,0
7000002,10,500,49501202,49501802,0,0
7000002,11,300,43510701,0,0,0
7000002,12,600,43510505,0,0,0
7000002,13,100,49501002,49501202,49501802,0
7000002,14,100,49501002,49501202,0,0
7000002,15,200,49501002,49501802,0,0
7000003,1,220,49501402,0,0,0
7000003,2,100,49500802,0,0,0
7000003,3,200,49501002,0,0,0
7000003,4,300,49500902,49501202,49501802,0
7000003,5,300,49500902,49501802,0,0
7000003,6,300,49500902,49501202,0,0
7000003,7,500,49500902,0,0,0
7000003,8,500,49501202,49501202,49501202,0
7000003,9,500,49501802,49501802,49501802,0
7000003,10,500,49501202,49501802,0,0
7000003,11,300,43510701,0,0,0
7000003,12,600,43510505,0,0,0
7000003,13,100,49501002,49501202,49501802,0
7000003,14,100,49501002,49501202,0,0
7000003,15,200,49501002,49501802,0,0
7200001,1,1,0,0,0,1000000
7200001,2,1,0,0,0,500000
7200001,3,4,0,0,0,200000
7200001,4,10,0,0,0,100000
7200001,5,20,0,0,0,50000
7200001,6,40,0,0,0,25000
7200001,7,100,0,0,0,15000
7200001,8,180,0,0,0,10000
7200001,9,200,0,0,0,8000
7200001,10,300,0,0,0,5000
7200001,11,1000,0,0,0,3000
7200001,12,2500,0,0,0,2000
7200001,13,10000,0,0,0,1500
7200001,14,10000,0,0,0,1000
7200001,15,4000,0,0,0,800
7200001,16,1500,0,0,0,500
7200001,17,1500,0,0,0,200
7200002,1,180,21605101,0,0,0
7200002,2,100,21405104,0,0,0
7200002,3,200,21405103,0,0,0
7200002,4,80,21405104,0,0,500
7200002,5,1000,21400302,0,0,500
7200002,6,800,21401802,0,0,500
7200002,7,80,21405104,22400102,0,0
7200002,8,1800,43510504,0,0,0
7200002,9,2000,43510503,43510502,0,0
7200002,10,800,21400302,43510503,0,0
7200002,11,900,21400302,43510502,0,0
7200002,12,700,21401802,22400102,0,0
7200002,13,1500,22400102,43510503,0,0
7200002,14,2000,22400102,43510502,0,0
7200002,15,80,21405103,22400102,0,0
7200002,16,80,21405103,0,0,500
7200002,17,200,0,0,0,10000
7200002,18,600,0,0,0,5000
7200002,19,1500,0,0,0,2000
7200002,20,5000,0,0,0,1000
7200003,1,180,22600501,0,0,0
7200003,2,100,22400504,0,0,0
7200003,3,200,22400503,0,0,0
7200003,4,1000,21400302,0,0,500
7200003,5,800,21401802,0,0,500
7200003,6,80,22400504,22400102,0,0
7200003,7,80,22400504,0,0,500
7200003,8,80,22400503,22400102,0,0
7200003,9,80,22400503,0,0,500
7200003,10,1800,43510504,0,0,0
7200003,11,2000,43510503,0,0,0
7200003,12,700,21401802,22400102,43510502,0
7200003,13,900,21400302,43510502,0,0
7200003,14,1500,22400102,43510503,0,0
7200003,15,2000,22400102,43510502,0,0
7200003,16,800,21400302,43510503,0,0
7200003,17,200,0,0,0,10000
7200003,18,600,0,0,0,5000
7200003,19,1500,0,0,0,2000
7200003,20,5000,0,0,0,1000
7200004,1,180,23600601,0,0,0
7200004,2,100,23400604,0,0,0
7200004,3,80,23400604,0,0,500
7200004,4,200,23400603,0,0,0
7200004,5,1000,21400302,0,0,500
7200004,6,800,21401802,0,0,500
7200004,7,80,23400604,22400102,0,0
7200004,8,80,23400603,22400102,0,0
7200004,9,80,23400603,0,0,500
7200004,10,1800,43510504,0,0,0
7200004,11,2000,43510503,0,0,0
7200004,12,700,21401802,22400102,43510502,0
7200004,13,800,21400302,43510503,0,0
7200004,14,900,21400302,43510502,0,0
7200004,15,1500,22400102,43510503,0,0
7200004,16,2000,22400102,43510502,0,0
7200004,17,200,0,0,0,10000
7200004,18,600,0,0,0,5000
7200004,19,1500,0,0,0,2000
7200004,20,5000,0,0,0,1000
7200005,1,180,21605201,0,0,0
7200005,2,80,21405204,22400102,0,0
7200005,3,100,21405204,0,0,0
7200005,4,80,21405204,0,0,500
7200005,5,200,21405203,0,0,0
7200005,6,80,21405203,22400102,0,0
7200005,7,80,21405203,0,0,500
7200005,8,800,21401802,0,0,500
7200005,9,700,21401802,22400102,43510502,0
7200005,10,800,21400302,43510503,0,0
7200005,11,900,21400302,43510502,0,0
7200005,12,1000,21400302,0,0,500
7200005,13,1500,22400102,43510503,0,0
7200005,14,2000,22400102,43510502,0,0
7200005,15,1800,43510504,0,0,0
7200005,16,2000,43510503,0,0,0
7200005,17,200,0,0,0,10000
7200005,18,600,0,0,0,5000
7200005,19,1500,0,0,0,2000
7200005,20,5000,0,0,0,1000
7200006,1,180,21605001,0,0,0
7200006,2,80,21405004,22400102,0,0
7200006,3,100,21405004,0,0,0
7200006,4,80,21405004,0,0,500
7200006,5,200,21405003,0,0,0
7200006,6,80,21405003,22400102,0,0
7200006,7,80,21405003,0,0,500
7200006,8,800,21401802,0,0,500
7200006,9,700,21401802,22400102,43510502,0
7200006,10,800,21400302,43510503,0,0
7200006,11,900,21400302,43510502,0,0
7200006,12,1000,21400302,0,0,500
7200006,13,1500,22400102,43510503,0,0
7200006,14,2000,22400102,43510502,0,0
7200006,15,1800,43510504,0,0,0
7200006,16,2000,43510503,0,0,0
7200006,17,200,0,0,0,10000
7200006,18,600,0,0,0,5000
7200006,19,1500,0,0,0,2000
7200006,20,5000,0,0,0,1000
7200007,1,180,21607401,0,0,0
7200007,2,100,21407404,0,0,0
7200007,3,200,21407403,0,0,0
7200007,4,80,21407404,0,0,500
7200007,5,1000,21400302,0,0,500
7200007,6,800,21401802,0,0,500
7200007,7,80,21407404,22400102,0,0
7200007,8,1800,43510504,0,0,500
7200007,9,2000,43510503,43510502,0,500
7200007,10,800,21400302,43510503,0,0
7200007,11,900,21400302,43510502,0,0
7200007,12,700,21401802,22400102,0,0
7200007,13,1500,22400102,43510503,0,0
7200007,14,2000,22400102,43510502,0,0
7200007,15,80,21407403,22400102,0,0
7200007,16,80,21407403,0,0,500
7200007,17,200,0,0,0,10000
7200007,18,600,0,0,0,5000
7200007,19,1500,0,0,0,2000
7200007,20,5000,0,0,0,1000
7300007,1,20,21607501,32400702,0,0
7300007,2,80,21407504,32400702,0,0
7300007,3,250,49500502,32400702,0,0
7300007,4,500,21407503,32400702,0,500
7300007,5,800,32400603,32400702,0,0
7300007,6,500,12400303,32400702,0,0
7300007,7,500,81400803,32400702,0,0
7300007,8,800,43510701,32400702,0,0
7300007,9,200,32400702,0,0,5000
7300007,10,1000,32400702,0,0,2000
7300007,11,1500,32400702,0,0,1000
7300008,1,20,22600801,24400502,0,0
7300008,2,80,22400804,24400502,0,0
7300008,3,250,49500702,24400502,0,0
7300008,4,500,22400803,24400502,0,500
7300008,5,800,32400603,24400502,0,0
7300008,6,500,81401003,24400502,0,0
7300008,7,500,11400504,24400502,0,0
7300008,8,800,43510701,24400502,0,0
7300008,9,200,24400502,0,0,5000
7300008,10,1000,24400502,0,0,2000
7300008,11,1500,24400502,0,0,1000
7300009,1,20,23600801,31400702,0,0
7300009,2,80,23400804,31400702,0,0
7300009,3,250,49500902,31400702,0,0
7300009,4,500,23400803,31400702,0,500
7300009,5,800,32400603,31400702,0,0
7300009,6,500,12400603,31400702,0,0
7300009,7,500,81401103,31400702,0,0
7300009,8,800,43510701,31400702,0,0
7300009,9,200,31400702,0,0,5000
7300009,10,1000,31400702,0,0,2000
7300009,11,1500,31400702,0,0,1000
