ClassIndex,ClassLevel,Type,Career,ClassName,ExpMin,ExpMax,PointValue,RewardItemIndex1,RewardItemIndex2,RewardItemIndex3
1001,1,1,0,Recruit,0,399,0,,,
1002,2,1,0,PVT,398,999,2000,21400102,21400302,
1003,3,1,0,PFC,998,2399,2000,21400602,12400502,11400302
1004,4,1,0,CPL,2398,3899,2000,21400202,12400302,11400502
1005,5,1,0,SGT,3898,5899,2000,21400702,12400602,11400602
2001,6,2,1,SSG01,5898,8399,5000,21401302,31400602,32400502
2002,7,2,2,SSG02,8398,11399,0,21401402,22400102,81402502
2003,8,2,3,SSG03,11398,14999,0,21401802,23400402,81402602
2004,9,2,4,SSG04,14998,19199,0,21400502,22400302,81402702
2005,10,2,5,SSG05,19198,23999,0,21400802,23400502,81400502
2011,11,2,1,PSG01,23998,29299,10000,21405402,34400502,81401102
2012,12,2,2,PSG02,29298,35199,0,21400102,32400402,81401002
2013,13,2,3,PSG03,35198,41499,0,21401002,33400302,81400902
2014,14,2,4,PSG04,41498,48399,0,21401902,31400402,81402502
2015,15,2,5,PSG05,48398,55899,0,21402002,32400302,81402602
2021,16,2,1,MSG01,55898,63899,10000,21405602,34400302,81402702
2022,17,2,2,MSG02,63898,72399,0,21402802,32400602,81400502
2023,18,2,3,MSG03,72398,81499,0,21400302,32400502,81401102
2024,19,2,4,MSG04,81498,91199,0,21400602,31400502,81401002
2025,20,2,5,MSG05,91198,101499,0,21400202,31400602,81400902
3001,21,3,1,2Lt.01,101498,112799,10000,21406302,34400102,81402502
3002,22,3,2,2Lt.02,112798,125499,0,21400702,22400102,81402602
3003,23,3,3,2Lt.03,125498,139699,0,21401302,23400402,81402702
3004,24,3,4,2Lt.04,139698,155599,0,21401402,22400302,81400502
3005,25,3,5,2Lt.05,155598,173199,0,21400502,23400502,81401102
3011,26,3,1,Lt.01,173198,192799,10000,21406102,34400702,81401002
3012,27,3,2,Lt.02,192798,214299,0,21400802,32400402,81400902
3013,28,3,3,Lt.03,214298,237899,0,21400102,33400302,81402502
3014,29,3,4,Lt.04,237898,263799,0,21401002,31400402,81402602
3015,30,3,5,Lt.05,263798,291999,0,21401902,32400302,81402702
3021,31,3,1,CPT01,291998,322999,10000,21406702,34400602,81400502
3022,32,3,2,CPT02,322998,355999,0,21401802,32400602,81401102
3023,33,3,3,CPT03,355998,392999,0,21402002,32400502,81401002
3024,34,3,4,CPT04,392998,431999,0,21402802,31400502,81400902
3025,35,3,5,CPT05,431998,473999,0,21400102,31400602,81402502
4001,36,4,1,MAJ01,473998,520999,10000,21406502,34400402,81402602
4002,37,4,2,MAJ02,520998,571999,0,21400602,22400102,81402702
4003,38,4,3,MAJ03,571998,627999,0,21400202,23400402,81400502
4004,39,4,4,MAJ04,627998,690999,0,21400302,22400302,81401102
4005,40,4,5,MAJ05,690998,758999,0,21401302,23400502,81401002
4011,41,4,1,LCL01,758998,833999,10000,21406002,34400502,81400902
4012,42,4,2,LCL02,833998,915999,0,21401402,32400402,81402502
4013,43,4,3,LCL03,915998,1004999,0,21401802,33400302,81402602
4014,44,4,4,LCL04,1004998,1102999,0,21400502,31400402,81402702
4015,45,4,5,LCL05,1102998,1208999,0,21400802,32400302,81400502
4021,46,4,1,COL01,1208998,1322999,10000,21405802,34400302,81401102
4022,47,4,2,COL02,1322998,1447999,0,21400102,32400602,81401002
4023,48,4,3,COL03,1447998,1582999,0,21401002,32400502,81400902
4024,49,4,4,COL04,1582998,1727999,0,21401902,31400502,81402502
4025,50,4,5,COL05,1727998,1884999,0,21402002,31400602,81402602
5001,51,5,1,BG01,1884998,2053999,10000,21405302,34400102,81402702
5002,52,5,2,BG02,2053998,2234999,0,21402802,22400102,81400502
5003,53,5,3,BG03,2234998,2429999,0,21400302,23400402,81401102
5004,54,5,4,BG04,2429998,2638999,0,21400602,22400302,81401002
5005,55,5,5,BG05,2638998,2862999,0,21400202,23400502,81400902
5011,56,5,1,MG01,2862998,3101999,10000,21406203,34400702,81402502
5012,57,5,2,MG02,3101998,3357999,0,21400302,32400402,81402602
5013,58,5,3,MG03,3357998,3630999,0,21401302,33400302,81402702
5014,59,5,4,MG04,3630998,3921999,0,21401402,31400402,81400502
5015,60,5,5,MG05,3921998,4231999,0,21401802,32400302,81401102
5021,61,5,1,LG01,4231998,4559999,10000,21406603,34400602,81401002
5022,62,5,2,LG02,4559998,4909999,0,21400802,32400602,81400902
5023,63,5,3,LG03,4909998,5279999,0,21400102,32400502,81402502
5024,64,5,4,LG04,5279998,5679999,0,21401002,31400502,81402602
5025,65,5,5,LG05,5679998,6099999,0,21401902,31400602,81402702
5031,66,5,1,GEN01,6099998,6539999,10000,21405703,34400402,81400502
5032,67,5,2,GEN02,6539998,7009999,0,21402002,22400102,81401102
5033,68,5,3,GEN03,7009998,7509999,0,21402802,23400402,81401002
5034,69,5,4,GEN04,7509998,8029999,0,21400302,22400302,81400902
5035,70,5,5,GEN05,8029998,8599999,0,21400602,23400502,81402502
6001,71,6,1,GA01,8599998,9169999,0,21400202,32400402,81402602
6002,72,6,2,GA02,9169998,9799999,0,21401802,33400302,81402702
6003,72,6,2,GA02,9799998,9777343,0,21401302,31400402,81400502
6004,72,6,2,GA02,9777342,10424171,0,21400502,32400302,81401102
6005,72,6,2,GA02,10424170,11104929,0,21400702,32400602,81401002
