FunctionIndex,FunctionType,ItemDesc,Value
101,1,PointUp_Percent,10
102,1,PointUp_Percent,30
103,1,PointUp_Percent,100
104,1,PointUp_Percent,5
201,2,ExpUp_Percent,10
202,2,ExpUp_Percent,30
203,2,ExpUp_Percent,100
204,2,ExpUp_Percent,3
205,2,ExpUp_Percent,5
206,2,ExpUp_Percent,6
207,2,ExpUp_Percent,8
601,6,DoubleUp_Percent,100
602,6,DoubleUp_Percent,5
501,5,HeadshotExpUp_Percent,30
301,3,WinLoseClear,0
401,4,KillDeathClear,0
701,7,RecordClear,0
801,8,ClanKillDeathClear,0
901,9,ClanRecordClear,0
1001,10,GameOut_PenaltyZero,0
1101,11,Instant_Respawn,0
1201,12,DefusingKit,0
1301,13,Ammunition_Percent,30
1401,14,Nickname_Change,0
1501,15,Clan_Name_Change,0
1601,16,CapsuleKey,0
1701,17,PVETicket,0
1801,18,PointItem,0
1901,19,Clan_Mark_Change,0
