ItemIndex,RecordName,RepresentIndex,HighGroup,MiddleGroup,FunctionIndex,IsResell,ResellPoint,PointPrice,CashPrice,BonusPoint,CashType,IsSell,DisplayOrder,IsShopShow,IsNew,NewBeginTime,NewEndTime,IsHot,HotBeginTime,HotEndTime,IsSale,SaleBeginTime,SaleEndTime,SalePrice,UseType,Durability,UseTime,UseCount,IsMerge,Cangift,RepairPoint,OnlyPvE,EngName,BuyPopupOrder,ItemDesc,ItemDetailDesc,InfoType,Attack,Accuracy,Stability,ShotSpeed,Carry,Magazine,Supply,IsInvenShow,BuyLevelLimit,EquipLevelLimit,UseState,SlotCount,WeaponType,CapsuleGrade
12100101,MP_M_TF_01,12100101,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Jack Conrad_Primary,,I_D_MP_M_TF_01,,0,0,0,0,0,0,0,0,1,00,0,1,1,0,1
12400301,MP_M_TF_03,12400301,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Mark Edwin_Period_NoItem,,I_D_MP_M_TF_03,,0,0,0,0,0,0,0,0,1,04,0,1,2,0,1
12400302,MP_M_TF_03,12400301,1,2,0,0,0,720,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,86400,0,1,0,0,0,Mark Edwin_Period_24,1,I_D_MP_M_TF_03,,0,0,0,0,0,0,0,0,1,04,0,1,2,0,1
12400303,MP_M_TF_03,12400301,1,2,0,0,0,3024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,604800,0,1,0,0,0,Mark Edwin_Period_168,2,I_D_MP_M_TF_03,,0,0,0,0,0,0,0,0,1,04,0,1,2,0,1
12400304,MP_M_TF_03,12400301,1,2,0,0,0,8640,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2592000,0,1,0,0,0,Mark Edwin_Period_720,3,I_D_MP_M_TF_03,,0,0,0,0,0,0,0,0,1,04,0,1,2,0,1
12600301,MP_M_TF_03,12600301,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Mark Edwin_Permanent_NoItem,,I_D_MP_M_TF_03,,0,0,0,0,0,0,0,0,1,04,0,1,2,0,1
12600302,MP_M_TF_03,12600301,1,2,0,0,0,17280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Mark Edwin_Permanent,4,I_D_MP_M_TF_03,,0,0,0,0,0,0,0,0,1,04,0,1,2,0,1
12400401,MP_M_TF_04,12400401,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Jason Blair_Period_NoItem,,I_D_MP_M_TF_04,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400402,MP_M_TF_04,12400401,1,2,0,0,0,0,119,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,86400,0,1,1,0,0,Jason Blair_Period_24,1,I_D_MP_M_TF_04,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400403,MP_M_TF_04,12400401,1,2,0,0,0,0,409,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,604800,0,1,1,0,0,Jason Blair_Period_168,2,I_D_MP_M_TF_04,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400404,MP_M_TF_04,12400401,1,2,0,0,0,0,1399,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2592000,0,1,1,0,0,Jason Blair_Period_720,3,I_D_MP_M_TF_04,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12600401,MP_M_TF_04,12600401,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Jason Blair_Permanent_NoItem,,I_D_MP_M_TF_04,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12600402,MP_M_TF_04,12600401,1,2,0,0,0,0,2798,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,Jason Blair_Permanent,4,I_D_MP_M_TF_04,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400501,MP_M_TF_05,12400501,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Vincent_Period_NoItem,,I_D_MP_M_TF_05,,0,0,0,0,0,0,0,0,1,03,0,1,2,0,1
12400502,MP_M_TF_05,12400501,1,2,0,0,0,600,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,86400,0,1,0,0,0,Vincent_Period_24,1,I_D_MP_M_TF_05,,0,0,0,0,0,0,0,0,1,03,0,1,2,0,1
12400503,MP_M_TF_05,12400501,1,2,0,0,0,2520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,604800,0,1,0,0,0,Vincent_Period_168,2,I_D_MP_M_TF_05,,0,0,0,0,0,0,0,0,1,03,0,1,2,0,1
12400504,MP_M_TF_05,12400501,1,2,0,0,0,7200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2592000,0,1,0,0,0,Vincent_Period_720,3,I_D_MP_M_TF_05,,0,0,0,0,0,0,0,0,1,03,0,1,2,0,1
12600501,MP_M_TF_05,12600501,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Vincent_Permanent_NoItem,,I_D_MP_M_TF_05,,0,0,0,0,0,0,0,0,1,03,0,1,2,0,1
12600502,MP_M_TF_05,12600501,1,2,0,0,0,14400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Vincent_Permanent,4,I_D_MP_M_TF_05,,0,0,0,0,0,0,0,0,1,03,0,1,2,0,1
12400201,MP_M_TF_02,12400201,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Eric Roth_Period_NoItem,,I_D_MP_M_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400202,MP_M_TF_02,12400201,1,2,0,0,0,0,149,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,86400,0,1,1,0,0,Eric Roth_Period_24,1,I_D_MP_M_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400203,MP_M_TF_02,12400201,1,2,0,0,0,0,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,604800,0,1,1,0,0,Eric Roth_Period_168,2,I_D_MP_M_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400204,MP_M_TF_02,12400201,1,2,0,0,0,0,1699,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2592000,0,1,1,0,0,Eric Roth_Period_720,3,I_D_MP_M_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12600201,MP_M_TF_02,12600201,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Eric Roth_Permanent_NoItem,,I_D_MP_M_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12600202,MP_M_TF_02,12600201,1,2,0,0,0,0,3398,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,Eric Roth_Permanent,4,I_D_MP_M_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400601,MP_W_TF_01,12400601,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Erica Lin_Period_NoItem,,I_D_MP_W_TF_01,,0,0,0,0,0,0,0,0,1,05,0,1,2,0,1
12400602,MP_W_TF_01,12400601,1,2,0,0,0,840,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,86400,0,1,0,0,0,Erica Lin_Period_24,1,I_D_MP_W_TF_01,,0,0,0,0,0,0,0,0,1,05,0,1,2,0,1
12400603,MP_W_TF_01,12400601,1,2,0,0,0,3528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,604800,0,1,0,0,0,Erica Lin_Period_168,2,I_D_MP_W_TF_01,,0,0,0,0,0,0,0,0,1,05,0,1,2,0,1
12400604,MP_W_TF_01,12400601,1,2,0,0,0,10080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2592000,0,1,0,0,0,Erica Lin_Period_720,3,I_D_MP_W_TF_01,,0,0,0,0,0,0,0,0,1,05,0,1,2,0,1
12600601,MP_W_TF_01,12600601,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Erica Lin_Permanent_NoItem,,I_D_MP_W_TF_01,,0,0,0,0,0,0,0,0,1,05,0,1,2,0,1
12600602,MP_W_TF_01,12600601,1,2,0,0,0,20160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Erica Lin_Permanent,4,I_D_MP_W_TF_01,,0,0,0,0,0,0,0,0,1,05,0,1,2,0,1
12400701,MP_W_TF_02,12400701,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Emily Roth_Period_NoItem,,I_D_MP_W_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400702,MP_W_TF_02,12400701,1,2,0,0,0,0,169,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,86400,0,1,1,0,0,Emily Roth_Period_24,1,I_D_MP_W_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400703,MP_W_TF_02,12400701,1,2,0,0,0,0,589,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,604800,0,1,1,0,0,Emily Roth_Period_168,2,I_D_MP_W_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400704,MP_W_TF_02,12400701,1,2,0,0,0,0,1999,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2592000,0,1,1,0,0,Emily Roth_Period_720,3,I_D_MP_W_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12600701,MP_W_TF_02,12600701,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Emily Roth_Permanent_NoItem,,I_D_MP_W_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12600702,MP_W_TF_02,12600701,1,2,0,0,0,0,3998,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,Emily Roth_Permanent,4,I_D_MP_W_TF_02,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400801,MP_W_H_TF_01,12400801,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,Manon Petit_Period_NoItem,,I_D_MP_W_H_TF_01,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
12400802,MP_W_H_TF_01,12400801,1,2,0,0,0,0,169,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,86400,0,1,1,0,0,Manon Petit_Period_24,1,I_D_MP_W_H_TF_01,,0,0,0,0,0,0,0,0,1,00,0,1,3,0,1
