MapIndex,MapMode,PlayNormal,PlayPve,User,UserMin,UserDefault,Time,TimeDefault,Kill,KillDefault,Goal,GoalDefault,Round,RoundDefault,MapName,ModeName,MapDisplay,ModeDisplay,DisplayOrder,Difficulty,Advantage,Character,DisplayModeIndex,Weapon,Hot,WinRewardItem,LoseRewardIndex,DrawRewardIndex,TypeStreaming,MatchGame
515,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_Rooftop,TeamDeathMatch,TAM_Rooftop,TeamDeathMatch,5021,0,0,0,1,1,0,15150000,0,0,0,0
525,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_Rooftop_Light,TeamDeathMatch,TAM_Rooftop_Light,TeamDeathMatch,5021,0,0,0,1,1,0,15250000,0,0,0,0
518,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_Killhouse,TeamDeathMatch,TAM_Killhouse,TeamDeathMatch,5021,0,0,0,1,1,0,15180000,0,0,0,0
522,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_Mansion,TeamDeathMatch,TAM_Mansion,TeamDeathMatch,5021,0,0,0,1,1,0,15220000,0,0,0,0
529,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_Arsenal,TeamDeathMatch,TAM_Arsenal,TeamDeathMatch,5021,0,0,0,1,1,0,15290000,0,0,0,0
517,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_RuinCity,TeamDeathMatch,TAM_RuinCity,TeamDeathMatch,5021,0,0,0,1,1,0,15170000,0,0,0,0
531,5,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,TAM_Gore_Mansion,TeamDeathMatch,TAM_Gore_Mansion,TeamDeathMatch,0,0,0,0,1,1,0,15310000,0,0,0,0
321,3,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,SSM_Downfall,Knife,SSM_Downfall,Knife,5021,0,0,0,1,4,0,13210000,0,0,0,0
200,2,1,0,8|12|16,2,16,3,3,0,0,0,0,5,5,Random,Demolition,Random,Demolition,5000,0,0,0,1,0,0,12000000,0,0,0,0
204,2,1,0,8|12|16,2,16,3,3,0,0,0,0,3|5|7|9,3,TDM_PentHouse,Demolition,TDM_PentHouse,Demolition,5016,0,0,0,1,0,0,12040000,0,0,0,1
206,2,1,0,8|12|16,2,16,3,3,0,0,0,0,3|5|7|9,3,TDM__Laboratory,Demolition,TDM__Laboratory,Demolition,5014,0,0,0,1,0,0,12060000,0,0,0,1
213,2,1,0,8|12|16,2,16,3,3,0,0,0,0,3|5|7|9,3,TDM_Airport,Demolition,TDM_Airport,Demolition,5012,0,0,0,1,0,0,12130000,0,0,0,1
603,6,1,0,5|6|7|8,2,8,3|5|7|10,5,0,0,0,0,1,1,FO_Ghost_1,Ghost,FO_Ghost_1,Ghost,9000,0,0,0,3,0,0,16030000,0,0,0,0
103,1,1,0,8|12|16,2,16,10,15,1000,1000,0,0,1,1,TCP_EPA_TH_01,TeamControlPoint,TCP_EPA_TH_01,TeamControlPoint,8995,0,0,0,1,0,0,11030000,0,0,0,0
704,7,0,1,4,2,4,10,10,0,0,0,0,4,4,PVE_Act01Ms02_E,PVETest,PVE_Act01Ms02_E,Scenario,8998,1,1,2,2,0,0,17040010,0,0,0,0
705,7,0,1,4,2,4,10,10,0,0,0,0,4,4,PVE_Act01Ms02_N,PVETest,PVE_Act01Ms02_N,Scenario,8998,2,1,2,2,0,0,17050020,0,0,0,0
706,7,0,1,4,2,4,10,10,0,0,0,0,4,4,PVE_Act01Ms02_H,PVETest,PVE_Act01Ms02_H,Scenario,8998,3,1,2,2,0,0,17060030,0,0,0,0
423,4,1,0,4,2,4,10,10,0,0,0,0,5,5,PVE_Runaway_E,Runaway,PVE_Runaway_E,Runaway,9002,1,1,2,2,0,0,14230010,0,0,0,0
424,4,1,0,4,2,4,10,10,0,0,0,0,5,5,PVE_Runaway_N,Runaway,PVE_Runaway_N,Runaway,9002,2,1,2,2,0,0,14240020,0,0,0,0
425,4,1,0,4,2,4,10,10,0,0,0,0,5,5,PVE_Runaway_H,Runaway,PVE_Runaway_H,Runaway,9002,3,1,2,2,0,0,14250030,0,0,0,0
729,7,0,1,4,2,4,10,10,0,0,0,0,7,7,PVE_Runaway02_E,PVETest,PVE_Runaway02_E,Scenario,9002,1,1,2,2,0,0,17290010,0,0,0,0
730,7,0,1,4,2,4,10,10,0,0,0,0,7,7,PVE_Runaway02_N,PVETest,PVE_Runaway02_N,Scenario,9002,2,1,2,2,0,0,17300020,0,0,0,0
731,7,0,1,4,2,4,10,10,0,0,0,0,7,7,PVE_Runaway02_H,PVETest,PVE_Runaway02_H,Scenario,9002,3,1,2,2,0,0,17310030,0,0,0,0
802,8,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,Rag_Town,Rag,Rag_Town,Rag,9004,0,0,0,1,1,0,18020000,0,0,0,0
803,8,1,0,8|12|16,2,16,8|10|12|15,10,80|100|120|150,100,0,0,1,1,Rag_Retake,Rag,Rag_Retake,Rag,9004,0,0,0,1,1,0,18030000,0,0,0,0
