"id","exist","isShopShow","name","grade","requireLv","priceType","priceP","priceC","linkedItem","effect1","eValue1","effect2","eValue12","effect3","eValue13","Description"
21100101,1,0,"Material1",2,0,0,0,0,"1_Nail_Hammerhead",0,0,0,0,0,0,"a"
21200201,1,0,"Material2",1,0,0,0,0,0,0,0,0,0,0,0,"b"
21200301,1,0,"Material3",1,0,0,0,0,0,0,0,0,0,0,0,"c"
21201401,1,0,"Material4",1,0,0,0,0,0,0,0,0,0,0,0,"d"
21201501,1,0,"Material5",1,0,0,0,0,0,0,0,0,0,0,0,"e"
21202201,1,0,"Material6",1,0,0,0,0,0,0,0,0,0,0,0,"f"
69000701,1,0,"Material7",1,0,0,0,0,0,0,0,0,0,0,0,"g"
69000801,1,0,"Material8",1,0,0,0,0,0,0,0,0,0,0,0,"h"
69000901,1,0,"Material9",1,0,0,0,0,0,0,0,0,0,0,0,"I"
69001001,1,0,"Material10",1,0,0,0,0,0,0,0,0,0,0,0,"j"
69001101,1,0,"Material11",1,0,0,0,0,0,0,0,0,0,0,0,"k"
69001201,1,0,"Material12",1,0,0,0,0,0,0,0,0,0,0,0,"l"
69001301,1,0,"Material13",1,0,0,0,0,0,0,0,0,0,0,0,"m"
69001401,1,0,"Material14",1,0,0,0,0,0,0,0,0,0,0,0,"n"
69001501,1,0,"Material15",1,0,0,0,0,0,0,0,0,0,0,0,"o"
