MissionIndex,OpenFactor,SlotIndex,IconInfo,AbleToMode,AbleToSubMode,MapInfo,DiffType,ActionType,ActionCount,Description,Summary,RewardItemIndex1,RewardItemIndex2,RewardItemIndex3,OrderType
500210101,0,0,0,5,0,0,1,1,1,MissionDes_5000101,sumAction_5000101,49501802,0,0,1
500221105,0,0,0,5,0,0,2,11,5,MissionDes_5001105,sumAction_5001105,33400102,49501802,0,1
500231301,0,0,0,5,0,0,3,13,1,MissionDes_5001301,sumAction_5001301,23400302,81400902,49501802,1
200210101,0,1,0,2,0,0,1,1,1,MissionDes_2000101,sumAction_2000101,49501202,0,0,1
200221105,0,1,0,2,0,0,2,11,5,MissionDes_2001105,sumAction_2001105,43410602,49501202,0,1
200230201,0,1,0,2,0,0,3,2,1,MissionDes_2000201,sumAction_2000201,31400102,81402602,49501202,1
300210101,0,2,0,3,0,0,1,1,1,MissionDes_3000101,sumAction_3000101,49501802,0,0,1
300221105,0,2,0,3,0,0,2,11,5,MissionDes_3001105,sumAction_3001105,81402602,49501802,0,1
300231301,0,2,0,3,0,0,3,13,1,MissionDes_3001301,sumAction_3001301,49500902,31400102,49501802,1
800210101,0,3,0,8,0,0,1,1,1,MissionDes_8000101,sumAction_8000101,49501202,0,0,1
800221105,0,3,0,8,0,0,2,11,5,MissionDes_8001105,sumAction_8001105,33400102,49501202,0,1
800231301,0,3,0,8,0,0,3,13,1,MissionDes_8001301,sumAction_8001301,23400302,81402602,49501202,1
100210101,0,4,0,1,0,0,1,1,1,MissionDes_1000101,sumAction_1000101,49501802,0,0,1
100221105,0,4,0,1,0,0,2,11,5,MissionDes_1001105,sumAction_1001105,81400902,49501802,0,1
100230201,0,4,0,1,0,0,3,2,1,MissionDes_1000201,sumAction_1000201,31400102,23400302,49501802,1
600210101,0,5,0,6,0,0,1,1,1,MissionDes_6000101,sumAction_6000101,49501202,0,0,1
600221103,0,5,0,6,0,0,2,11,3,MissionDes_6001103,sumAction_6001103,31400102,49501202,0,1
600233502,0,5,0,6,0,0,3,35,2,MissionDes_6003502,sumAction_6003502,49500902,33400102,49501202,1
423210101,0,6,0,4,0,23,1,1,1,MissionDes_4230101,sumAction_4230101,49501202,0,0,1
423220802,0,6,0,4,0,23,2,8,2,MissionDes_4230802,sumAction_4230802,23400302,49501202,0,1
423230601,0,6,0,4,0,23,3,6,1,MissionDes_4230601,sumAction_4230601,49500902,31400102,49501202,1
730210101,0,7,0,7,0,30,1,1,1,MissionDes_7300101,sumAction_7300101,49501802,0,0,1
730220802,0,7,0,7,0,30,2,8,2,MissionDes_7300802,sumAction_7300802,31400102,49501802,0,1
730230601,0,7,0,7,0,30,3,6,1,MissionDes_7300601,sumAction_7300601,23400302,81400902,49501802,1
706210101,0,8,0,7,0,6,1,1,1,MissionDes_7060101,sumAction_7060101,49501802,0,0,1
706220802,0,8,0,7,0,6,2,8,2,MissionDes_7060802,sumAction_7060802,33400102,49501802,0,1
706230601,0,8,0,7,0,6,3,6,1,MissionDes_7060601,sumAction_7060601,49500902,81400902,49501802,1
500110101,0,0,0,5,0,0,1,1,1,MissionDes_5000101,sumAction_5000101,49501202,0,0,2
500121105,0,0,0,5,0,0,2,11,5,MissionDes_5001105,sumAction_5001105,43410602,49501202,0,2
500131301,0,0,0,5,0,0,3,13,1,MissionDes_5001301,sumAction_5001301,24400202,81400502,49501202,2
200110101,0,1,0,2,0,0,1,1,1,MissionDes_2000101,sumAction_2000101,49501802,0,0,2
200121105,0,1,0,2,0,0,2,11,5,MissionDes_2001105,sumAction_2001105,32400202,49501802,0,2
