WeaponIndex,PartIndex,Default
21600101,62400201,0
21600101,62400501,0
21600101,62400601,0
21600101,61400201,0
21600101,61400301,0
21600101,63400101,0
21600101,64400101,0
21600101,65400101,0
21600101,66400101,0
21600201,61400201,0
21600201,62400201,0
21600201,62400501,0
21600201,62400601,0
21600201,61400301,0
21600201,63400101,0
21600201,64400101,0
21600201,65400101,0
21607101,61400201,0
21607101,62400201,0
21607101,62400501,0
21607101,62400601,0
21607101,61400301,0
21607101,63400101,0
21607101,64400101,0
21607101,65400101,0
21600301,61400201,0
21600301,61400301,0
21600301,62400201,0
21600301,62400501,0
21600301,62400601,0
21600301,63400101,0
21600301,64400101,0
21600301,65400101,0
21600301,66400101,0
21600501,62400301,0
21600501,66400101,0
21600601,62400401,0
21600601,66400101,0
21601001,61400201,0
21601001,61400301,0
21601001,62400201,0
21601001,62400501,0
21601001,62400601,0
21601001,63400101,0
21601001,64400101,0
21601001,65400101,0
21601401,61400201,0
21601401,61400301,0
21601401,62400201,0
21601401,62400501,0
21601401,62400601,0
21601401,63400101,0
21602301,62400201,0
21602301,62400501,0
21602301,62400601,0
21602301,61400201,0
21602301,61400301,0
21602301,63400101,0
21602301,64400101,0
21602301,65400101,0
21602301,66400101,0
21601901,61400201,0
21601901,61400301,0
21601901,62400201,0
21601901,62400501,0
21601901,62400601,0
21601901,63400101,0
21601901,64400101,0
21601901,65400101,0
21607201,61400201,0
21607201,61400301,0
21607201,62400201,0
21607201,62400501,0
21607201,62400601,0
21607201,63400101,0
21607201,64400101,0
21607201,65400101,0
21601801,61400201,0
21601801,61400301,0
21601801,62400201,0
21601801,62400501,0
21601801,62400601,0
21601801,63400101,0
21601801,64400101,0
21601801,65400101,0
21605301,61400201,0
21605301,61400301,0
21605301,62400201,0
21605301,62400501,0
21605301,62400601,0
21605301,63400101,0
21605301,64400101,0
21605301,65400101,0
21605301,66400101,0
21605401,61400201,0
21605401,61400301,0
21605401,62400201,0
21605401,62400501,0
21605401,62400601,0
21605401,63400101,0
21605401,64400101,0
21605401,65400101,0
21605401,66400101,0
21605501,62400201,0
21605501,62400501,0
21605501,62400601,0
21605501,61400201,0
21605501,61400301,0
21605501,63400101,0
21605501,64400101,0
21605501,65400101,0
21605501,66400101,0
21605601,62400201,0
21605601,62400501,0
21605601,62400601,0
21605601,61400201,0
21605601,61400301,0
21605601,63400101,0
21605601,64400101,0
21605601,65400101,0
21605601,66400101,0
21606101,61400201,0
21606101,61400301,0
21606101,62400201,0
21606101,62400501,0
21606101,62400601,0
21606101,65400101,0
21606201,61400201,0
21606201,61400301,0
21606201,62400201,0
21606201,62400501,0
21606201,62400601,0
21606201,65400101,0
21606301,61400201,0
21606301,61400301,0
21606301,62400201,0
21606301,62400501,0
21606301,62400601,0
21606301,63400101,0
21606301,64400101,0
21606301,65400101,0
21606401,61400201,0
21606401,61400301,0
21606401,62400201,0
21606401,62400501,0
21606401,62400601,0
21606401,63400101,0
21606401,64400101,0
21606401,65400101,0
21606501,62400301,0
21606501,66400101,0
21606601,62400301,0
21606601,66400101,0
21606701,62400401,0
21606701,66400101,0
21606801,62400401,0
21606801,66400101,0
21607301,62400401,0
21607301,66400101,0
21602701,61400201,0
21602701,61400301,0
21602701,62400201,0
21602701,62400501,0
21602701,62400601,0
21602701,65400101,0
21602701,66400101,0
21607501,61400201,0
21607501,61400301,0
21607501,62400201,0
21607501,62400501,0
21607501,62400601,0
21607501,63400101,0
21607501,64400101,0
21607501,65400101,0
21607501,66400101,0
