AiRecordName,AiIndex,AiKillConPoint
PVE_Abomination,1,10
PVE_ATC_Elite,5,10
PVE_ATC_Flamethrower,29,10
PVE_ATC_HeavyWeapon,6,10
PVE_ATC_HeavyWeapon_Missile,7,10
PVE_ATC_Kidnapper,8,10
PVE_ATC_Regular,9,10
PVE_EPA_Hero,18,10
PVE_Reanimated_Soldier,25,10
PVE_Remnant,26,10
PVE_Rep_Assassin,27,10
PVE_Rep_ElitePoweredArmor,28,10
PVE_Rep_ElitePoweredArmor_M15,40,10
PVE_Rep_HeavyArmor,29,10
PVE_Rep_HeavyArmor_Missile,30,10
PVE_Rep_HeavyWeapon,31,10
PVE_Rep_HeavyWeapon_Missile,32,10
PVE_Rep_PoweredArmor,33,10
PVE_Rep_Regular,34,10
PVE_Rep_Sniper,35,10
PVE_Specter,37,10
PVE_Turret_Ceiling,38,10
PVE_Turret_Helicopter,39,10
