id,exist,RepresentIndex,requireLv,requireTitle,priceType,priceP,priceC,MaterialCount,Material1,Material2,Material3,Material4,Material5,Material6,mCount1,mCount2,mCount3,mCount4,mCount5,mCount6,itemOutput,countOutput,IsSell,IsShopShow,TypeAItem,TypeBItem,RandomCraftTable
92000101,1,92000101,1,0,1,0,0,3,49500301,49501201,49501801,00000000,00000000,00000000,1,5,5,0,0,0,21601701,0,0,0,21603001,21603101,1
92000102,1,92000101,1,0,1,0,0,3,49500301,49501201,49501801,00000000,00000000,00000000,1,5,5,0,0,0,21601701,172800,1,1,21603001,21603101,1
92000901,1,92000901,1,0,1,0,0,6,49502101,49500701,49500501,49500901,49501201,49501801,1,3,5,10,30,30,21607601,0,0,0,21607701,21607801,9
92000902,1,92000901,1,0,1,10000,0,6,49502101,49500701,49500501,49500901,49501201,49501801,1,3,5,10,30,30,21607601,172800,1,1,21607701,21607801,9
92000201,1,92000201,1,0,1,0,0,6,49500101,49500701,49500501,49501901,49501201,49501801,1,2,5,10,20,20,21601601,0,0,0,21603201,21603301,2
92000202,1,92000201,1,0,1,5000,0,6,49500101,49500701,49500501,49501901,49501201,49501801,1,2,5,10,20,20,21601601,172800,1,1,21603201,21603301,2
92000301,1,92000301,1,0,1,0,0,6,49500201,49500701,49500501,49500901,49501201,49501801,1,2,5,10,20,20,21601501,0,0,0,21603401,21603501,3
92000302,1,92000301,1,0,1,9500,0,6,49500201,49500701,49500501,49500901,49501201,49501801,1,2,5,10,25,20,21601501,172800,1,1,21603401,21603501,3
92000401,1,92000401,1,0,1,0,0,6,49501301,49501101,49500601,49500901,49501201,49501801,1,3,5,7,25,20,21602101,0,0,0,21603601,21603701,4
92000402,1,92000401,1,0,1,13500,0,6,49501301,49501101,49500601,49500901,49501201,49501801,1,3,5,7,20,20,21602101,172800,1,1,21603601,21603701,4
92000501,1,92000501,1,0,1,0,0,6,49501401,49500801,49501001,49500901,49501201,49501801,1,2,5,8,24,24,21602601,0,0,0,21604001,21604101,5
92000502,1,92000501,1,0,1,5200,0,6,49501401,49500801,49501001,49500901,49501201,49501801,1,2,5,8,24,24,21602601,172800,1,1,21604001,21604101,5
92000601,1,92000601,1,0,1,0,0,6,49501501,49501101,49500601,49500901,49501201,49501801,1,3,5,10,25,25,21602401,0,0,0,21604201,21604301,6
92000602,1,92000601,1,0,1,1000,0,6,49501501,49501101,49500601,49500901,49501201,49501801,1,3,5,10,25,25,21602401,172800,1,1,21604201,21604301,6
92000701,1,92000701,1,0,1,0,0,6,49500401,49501101,49501001,49501901,49501201,49501801,1,3,4,8,25,25,21602501,0,0,0,21603801,21603901,7
92000702,1,92000701,1,0,1,10500,0,6,49500401,49501101,49501001,49501901,49501201,49501801,1,3,4,8,25,25,21602501,172800,1,1,21603801,21603901,7
92000801,1,92000801,1,0,1,0,0,6,49502001,49500801,49500601,49501901,49501201,49501801,1,2,4,10,25,25,21602901,0,0,0,21606901,21607001,8
92000802,1,92000801,1,0,1,8500,0,6,49502001,49500801,49500601,49501901,49501201,49501801,1,2,4,10,25,25,21602901,172800,1,1,21606901,21607001,8
