RewardIndex,Min,Max,RandomMax,RewardItem,RewardExp,RewardPoint,RewardType
11030000,1,200,3333,0,0,0,1
11030000,201,400,3333,0,0,0,1
11030000,401,500,3333,0,0,0,1
11030000,501,600,3333,0,0,0,1
11030000,601,700,3333,0,0,0,1
11030000,701,800,3333,0,0,0,1
11030000,801,900,3333,43510505,0,0,1
11030000,901,1000,3333,43510605,0,0,1
11030000,1001,3333,3333,0,0,0,1
12040000,1,200,3333,0,0,0,1
12040000,201,400,3333,0,0,0,1
12040000,401,500,3333,0,0,0,1
12040000,501,600,3333,0,0,0,1
12040000,601,700,3333,0,0,0,1
12040000,701,800,3333,0,0,0,1
12040000,801,900,3333,43510505,0,0,1
12040000,901,1000,3333,43510605,0,0,1
12040000,1001,3333,3333,0,0,0,1
12060000,1,200,3333,0,0,0,1
12060000,201,400,3333,0,0,0,1
12060000,401,500,3333,0,0,0,1
12060000,501,600,3333,0,0,0,1
12060000,601,700,3333,0,0,0,1
12060000,701,800,3333,0,0,0,1
12060000,801,900,3333,43510505,0,0,1
12060000,901,1000,3333,43510605,0,0,1
12060000,1001,3333,3333,0,0,0,1
12080000,1,200,3333,0,0,0,1
12080000,201,400,3333,0,0,0,1
12080000,401,500,3333,0,0,0,1
12080000,501,600,3333,0,0,0,1
12080000,601,700,3333,0,0,0,1
12080000,701,800,3333,0,0,0,1
12080000,801,900,3333,43510505,0,0,1
12080000,901,1000,3333,43510605,0,0,1
12080000,1001,3333,3333,0,0,0,1
12130000,1,200,3333,0,0,0,1
12130000,201,400,3333,0,0,0,1
12130000,401,500,3333,0,0,0,1
12130000,501,600,3333,0,0,0,1
12130000,601,700,3333,0,0,0,1
12130000,701,800,3333,0,0,0,1
12130000,801,900,3333,43510505,0,0,1
12130000,901,1000,3333,43510605,0,0,1
12130000,1001,3333,3333,0,0,0,1
12010000,1,200,3333,0,0,0,1
12010000,201,400,3333,0,0,0,1
12010000,401,500,3333,0,0,0,1
12010000,501,600,3333,0,0,0,1
12010000,601,700,3333,0,0,0,1
12010000,701,800,3333,0,0,0,1
12010000,801,900,3333,43510505,0,0,1
12010000,901,1000,3333,43510605,0,0,1
12010000,1001,3333,3333,0,0,0,1
12140000,1,200,3333,0,0,0,1
12140000,201,400,3333,0,0,0,1
12140000,401,500,3333,0,0,0,1
12140000,501,600,3333,0,0,0,1
12140000,601,700,3333,0,0,0,1
12140000,701,800,3333,0,0,0,1
12140000,801,900,3333,43510505,0,0,1
12140000,901,1000,3333,43510605,0,0,1
12140000,1001,3333,3333,0,0,0,1
12150000,1,200,3333,0,0,0,1
12150000,201,400,3333,0,0,0,1
12150000,401,500,3333,0,0,0,1
12150000,501,600,3333,0,0,0,1
12150000,601,700,3333,0,0,0,1
12150000,701,800,3333,0,0,0,1
12150000,801,900,3333,43510505,0,0,1
12150000,901,1000,3333,43510605,0,0,1
12150000,1001,3333,3333,0,0,0,1
